model,tensor,type_block,rule,purity_count_id,purity_count_se,purity_mass_id,purity_mass_se,purity_count_ct,purity_mass_ct,harmed_id,harmed_se,harmmass_id,harmmass_se,elected_id,elected_se,clip,metric,pos_share,rank1_sign_fit,row_share,col_share,resid_share,ceiling_pct_of_mse,identity_mse_cut,search_mse_cut,control_mse_cut,identity,search,control,lift_vs_identity,lift_vs_control,init,seconds
qwen3-4b,"layers.0.self_attn.q_proj (4096, 2560)",8x64,h1.5,0.58761,0.62036,0.61015,0.69018,0.61595,0.69313,11.6371,17.3216,3.7675,5.2833,31.8994,50.7324,heade0,mse,0.5599,0.5645,0.0233,0.0043,0.9724,20.7166,4.2834,8.1784,8.2881,0.2068,0.3948,0.4001,0.188,-0.0053,marginal,140.4
qwen3-4b,"layers.0.self_attn.v_proj (1024, 2560)",8x64,h1.5,0.58837,0.61477,0.61168,0.67907,0.61226,0.67528,10.9937,16.1615,3.658,5.1497,30.3125,47.0117,heade0,mse,0.5544,0.5579,0.0099,0.0078,0.9823,20.6916,4.0969,7.4577,7.2841,0.198,0.3604,0.352,0.1624,0.0084,spectral2,12.6
qwen3-4b,"layers.0.self_attn.o_proj (2560, 4096)",8x64,h1.5,0.58618,0.60774,0.60724,0.67701,0.60417,0.67731,11.161,16.6725,3.7327,5.0018,30.6201,47.2461,heade0,mse,0.5588,0.5603,0.0292,0.0034,0.9674,20.7617,4.2219,7.8261,7.7518,0.2033,0.3769,0.3734,0.1736,0.0036,spectral2,72.0
qwen3-4b,"layers.0.mlp.down_proj (2560, 9728)",8x64,h1.5,0.58396,0.59718,0.6069,0.64246,0.59448,0.64158,10.0957,13.3674,3.342,4.2949,27.6583,37.6028,heade0,mse,0.5519,0.5544,0.0291,0.0025,0.9684,20.3155,3.5628,5.3642,5.2002,0.1754,0.264,0.256,0.0887,0.0081,marginal,162.8
qwen3-4b,"layers.8.self_attn.q_proj (4096, 2560)",8x64,h1.5,0.58756,0.61981,0.61242,0.69218,0.61592,0.69654,12.0399,17.2766,3.8932,5.2484,32.8271,50.5273,heade0,mse,0.5594,0.5563,0.0079,0.0076,0.9845,20.8544,4.4435,8.3702,8.5696,0.2131,0.4014,0.4109,0.1883,-0.0096,spectral2,92.2
qwen3-4b,"layers.8.self_attn.v_proj (1024, 2560)",8x64,h1.5,0.58724,0.61306,0.60858,0.67619,0.61014,0.67496,10.5579,15.9961,3.693,5.1175,29.1211,46.1523,heade0,mse,0.551,0.5564,0.0061,0.0042,0.9897,20.6558,4.0438,7.4863,7.5052,0.1958,0.3624,0.3633,0.1667,-0.0009,spectral2,12.0
qwen3-4b,"layers.8.self_attn.o_proj (2560, 4096)",8x64,h1.5,0.58727,0.60949,0.60582,0.66767,0.60932,0.66803,12.3459,17.0995,4.0895,5.365,33.8232,48.8477,heade0,mse,0.5633,0.5534,0.005,0.001,0.994,21.1712,4.5959,7.724,7.7054,0.2171,0.3648,0.364,0.1478,0.0009,marginal,49.4
qwen3-4b,"layers.8.mlp.down_proj (2560, 9728)",8x64,h1.5,0.58253,0.596,0.60702,0.64329,0.59311,0.63777,9.298,12.6382,3.2784,4.2953,25.4564,35.5551,heade0,mse,0.5473,0.5495,0.0116,0.003,0.9854,20.3462,3.4773,5.2978,5.0555,0.1709,0.2604,0.2485,0.0895,0.0119,marginal,180.2
qwen3-4b,"layers.16.self_attn.q_proj (4096, 2560)",8x64,h1.5,0.58549,0.61688,0.61173,0.69511,0.61201,0.70706,11.3081,16.8907,3.6745,4.9709,30.5859,48.9795,heade0,mse,0.5555,0.5562,0.0095,0.0042,0.9863,20.6603,4.3412,8.3432,8.9948,0.2101,0.4038,0.4354,0.1937,-0.0315,spectral2,81.2
qwen3-4b,"layers.16.self_attn.v_proj (1024, 2560)",8x64,h1.5,0.58585,0.60787,0.60772,0.67744,0.60714,0.67986,9.3225,15.6793,3.3533,4.9124,25.5469,44.3359,heade0,mse,0.5436,0.5562,0.0082,0.0036,0.9882,20.4087,3.6229,7.195,7.3047,0.1775,0.3525,0.3579,0.175,-0.0054,spectral2,13.1
qwen3-4b,"layers.16.self_attn.o_proj (2560, 4096)",8x64,h1.5,0.58607,0.60816,0.60564,0.67156,0.60651,0.67185,11.7421,16.6675,3.8794,5.1153,31.9775,47.3486,heade0,mse,0.5606,0.5491,0.0086,0.001,0.9904,20.9052,4.2601,7.5769,7.6275,0.2038,0.3624,0.3649,0.1587,-0.0024,spectral2,91.4
