model,tensor,type_block,rule,clip,metric,pos_share,rank1_sign_fit,row_share,col_share,resid_share,ceiling_pct_of_mse,row_corr_abs,row_corr_p999,col_corr_abs,col_corr_p999,sv1,sv_top4,sv_top16,ctrl_row_corr_abs,ctrl_row_corr_p999,ctrl_col_corr_abs,ctrl_col_corr_p999,ctrl_sv1,ctrl_sv_top4,ctrl_sv_top16
qwen3-4b,"layers.0.self_attn.q_proj (4096, 2560)",-,-,heade0,mse,0.5599,0.5645,0.0233,0.0043,0.9724,20.7166,0.063632,0.288529,0.032214,0.51628,0.158476,0.256328,0.396248,0.062054,0.300481,0.01199,0.064712,0.023289,0.064034,0.182159
qwen3-4b,"layers.0.self_attn.k_proj (1024, 2560)",-,-,heade0,mse,0.5582,0.5546,0.0085,0.0053,0.9861,20.8316,0.064371,0.294095,0.036882,0.20134,0.036305,0.116399,0.286902,0.062624,0.269424,0.025143,0.110289,0.012449,0.047057,0.167653
qwen3-4b,"layers.0.self_attn.v_proj (1024, 2560)",-,-,heade0,mse,0.5544,0.5579,0.0099,0.0078,0.9823,20.6916,0.064546,0.286512,0.026188,0.132669,0.027619,0.066846,0.192332,0.063103,0.258209,0.024857,0.091675,0.011708,0.04553,0.162417
qwen3-4b,"layers.0.self_attn.o_proj (2560, 4096)",-,-,heade0,mse,0.5588,0.5603,0.0292,0.0034,0.9674,20.7617,0.056064,0.24619,0.064142,0.832864,0.298112,0.381042,0.508766,0.047618,0.270682,0.014568,0.096291,0.04759,0.114601,0.259633
qwen3-4b,"layers.0.mlp.gate_proj (9728, 2560)",-,-,heade0,mse,0.5601,0.5581,0.0091,0.0053,0.9856,20.9215,0.063872,0.268942,0.010189,0.156654,0.027887,0.08493,0.19336,0.063012,0.261072,0.008087,0.03373,0.015202,0.046675,0.132469
qwen3-4b,"layers.0.mlp.up_proj (9728, 2560)",-,-,heade0,mse,0.5618,0.5621,0.0085,0.0029,0.9886,21.0868,0.063214,0.257208,0.009212,0.110664,0.016002,0.046615,0.13604,0.063139,0.258245,0.008011,0.032814,0.009413,0.033586,0.117279
qwen3-4b,"layers.0.mlp.down_proj (2560, 9728)",-,-,heade0,mse,0.5519,0.5544,0.0291,0.0025,0.9684,20.3155,0.032432,0.137196,0.041388,0.656427,0.151855,0.244492,0.330558,0.031658,0.161775,0.015294,0.083879,0.015268,0.052161,0.143111
qwen3-4b,"layers.1.self_attn.q_proj (4096, 2560)",-,-,heade0,mse,0.5554,0.5571,0.0089,0.0062,0.9848,20.6525,0.064652,0.319228,0.019477,0.204103,0.122708,0.198529,0.330523,0.062383,0.286727,0.012196,0.052699,0.047839,0.09005,0.189138
qwen3-4b,"layers.1.self_attn.k_proj (1024, 2560)",-,-,heade0,mse,0.5578,0.5539,0.0071,0.0054,0.9875,20.7443,0.06425,0.301106,0.031049,0.141959,0.031872,0.09466,0.251485,0.062622,0.269299,0.024787,0.108647,0.013232,0.047836,0.167356
qwen3-4b,"layers.1.self_attn.v_proj (1024, 2560)",-,-,heade0,mse,0.5498,0.5543,0.0069,0.0055,0.9876,20.5861,0.063471,0.260409,0.02722,0.111348,0.014016,0.051951,0.178362,0.06322,0.254846,0.024962,0.104743,0.011759,0.045532,0.164762
qwen3-4b,"layers.1.self_attn.o_proj (2560, 4096)",-,-,heade0,mse,0.5624,0.5552,0.0085,0.0018,0.9897,21.035,0.053211,0.22396,0.022178,0.333704,0.042344,0.105165,0.233685,0.049034,0.224429,0.015312,0.06984,0.024985,0.053539,0.132223
qwen3-4b,"layers.1.mlp.gate_proj (9728, 2560)",-,-,heade0,mse,0.5354,0.5897,0.014,0.0087,0.9773,21.5573,0.177384,0.980106,0.014533,0.08462,0.026016,0.072042,0.18628,0.062562,0.267451,0.008085,0.033092,0.011334,0.034132,0.117125
qwen3-4b,"layers.1.mlp.up_proj (9728, 2560)",-,-,heade0,mse,0.546,0.5569,0.0103,0.0018,0.9879,20.8588,0.102841,0.836221,0.016223,0.158471,0.02085,0.056194,0.159677,0.061568,0.295207,0.007985,0.03296,0.008926,0.034421,0.120892
qwen3-4b,"layers.1.mlp.down_proj (2560, 9728)",-,-,heade0,mse,0.6226,0.5702,0.0307,0.0063,0.9631,21.3467,0.044351,0.207446,0.196978,0.966766,0.392469,0.499622,0.56122,0.031128,0.158315,0.014879,0.082143,0.047323,0.158864,0.309259
qwen3-4b,"layers.2.self_attn.q_proj (4096, 2560)",-,-,heade0,mse,0.5568,0.5545,0.0098,0.0058,0.9844,20.7197,0.064195,0.303756,0.020017,0.17616,0.036134,0.103386,0.237658,0.062449,0.283871,0.012384,0.058066,0.011687,0.038635,0.132259
qwen3-4b,"layers.2.self_attn.k_proj (1024, 2560)",-,-,heade0,mse,0.5568,0.573,0.0254,0.0086,0.966,20.3734,0.064229,0.314191,0.038568,0.474965,0.185926,0.35181,0.565315,0.061182,0.343634,0.023327,0.172118,0.067033,0.137909,0.3303
qwen3-4b,"layers.2.self_attn.v_proj (1024, 2560)",-,-,heade0,mse,0.552,0.5568,0.0077,0.0039,0.9884,20.7789,0.064192,0.262215,0.026157,0.112576,0.017687,0.055018,0.180132,0.063154,0.254576,0.024907,0.095742,0.012198,0.046629,0.164537
qwen3-4b,"layers.2.self_attn.o_proj (2560, 4096)",-,-,heade0,mse,0.5656,0.5549,0.0053,0.001,0.9937,21.1876,0.051378,0.208574,0.019392,0.175129,0.108856,0.148308,0.233173,0.049647,0.208241,0.015795,0.06305,0.080929,0.1177,0.186423
qwen3-4b,"layers.2.mlp.gate_proj (9728, 2560)",-,-,heade0,mse,0.5266,0.5746,0.0116,0.0073,0.9811,20.8869,0.183327,0.95751,0.013631,0.078392,0.031548,0.085724,0.210477,0.062023,0.281479,0.008013,0.03316,0.009013,0.031491,0.11448
qwen3-4b,"layers.2.mlp.up_proj (9728, 2560)",-,-,heade0,mse,0.5571,0.5583,0.0126,0.0027,0.9846,20.5035,0.107915,0.849813,0.017548,0.23447,0.047043,0.0988,0.205449,0.061032,0.311638,0.007956,0.033534,0.013566,0.045184,0.134752
qwen3-4b,"layers.2.mlp.down_proj (2560, 9728)",-,-,heade0,mse,0.3329,0.773,0.054,0.0108,0.9352,11.9007,0.040928,0.170529,0.057186,0.825803,0.4282,0.478889,0.540576,0.031682,0.158589,0.015126,0.083971,0.073753,0.16838,0.324121
qwen3-4b,"layers.3.self_attn.q_proj (4096, 2560)",-,-,heade0,mse,0.5534,0.5544,0.0103,0.0086,0.9811,20.4987,0.06583,0.357255,0.02183,0.17188,0.041569,0.121327,0.278358,0.062321,0.287029,0.012334,0.054804,0.017609,0.053523,0.148808
qwen3-4b,"layers.3.self_attn.k_proj (1024, 2560)",-,-,heade0,mse,0.5565,0.5556,0.0088,0.0091,0.9821,20.4289,0.065055,0.316354,0.033542,0.177186,0.054692,0.137291,0.331036,0.062087,0.293696,0.024772,0.123218,0.021259,0.067684,0.191627
qwen3-4b,"layers.3.self_attn.v_proj (1024, 2560)",-,-,heade0,mse,0.5504,0.56,0.0065,0.0051,0.9884,20.661,0.063798,0.256782,0.027159,0.112232,0.013453,0.050924,0.17806,0.063086,0.25273,0.024932,0.096261,0.011836,0.045399,0.163087
qwen3-4b,"layers.3.self_attn.o_proj (2560, 4096)",-,-,heade0,mse,0.5648,0.556,0.0065,0.001,0.9925,21.185,0.052473,0.217139,0.021164,0.366533,0.07348,0.159601,0.284854,0.049253,0.216579,0.015369,0.065705,0.020526,0.076923,0.182164
qwen3-4b,"layers.3.mlp.gate_proj (9728, 2560)",-,-,heade0,mse,0.5455,0.571,0.0111,0.0054,0.9835,21.2473,0.097809,0.959639,0.011444,0.077264,0.025894,0.072131,0.190546,0.062719,0.266492,0.007959,0.030984,0.00761,0.029895,0.113228
qwen3-4b,"layers.3.mlp.up_proj (9728, 2560)",-,-,heade0,mse,0.552,0.5573,0.0113,0.0032,0.9856,20.7831,0.067564,0.642006,0.014118,0.213881,0.039556,0.092657,0.198112,0.062053,0.288806,0.00805,0.036559,0.012999,0.040556,0.128037
qwen3-4b,"layers.3.mlp.down_proj (2560, 9728)",-,-,heade0,mse,0.5192,0.5846,0.0199,0.0134,0.9667,19.5867,0.03905,0.204716,0.042173,0.834721,0.181848,0.258096,0.351454,0.031492,0.16854,0.015269,0.085148,0.05641,0.111464,0.193094
qwen3-4b,"layers.4.self_attn.q_proj (4096, 2560)",-,-,heade0,mse,0.5575,0.5534,0.0079,0.0062,0.9859,20.7201,0.065436,0.370492,0.021355,0.142417,0.033704,0.106205,0.27066,0.062294,0.28711,0.012282,0.053415,0.01019,0.037078,0.131936
qwen3-4b,"layers.4.self_attn.k_proj (1024, 2560)",-,-,heade0,mse,0.5566,0.568,0.0161,0.0097,0.9742,20.2449,0.065752,0.389434,0.036852,0.306488,0.338074,0.538891,0.665557,0.06104,0.344006,0.023049,0.141223,0.098264,0.29778,0.496293
qwen3-4b,"layers.4.self_attn.v_proj (1024, 2560)",-,-,heade0,mse,0.5533,0.5602,0.0066,0.0046,0.9888,20.8506,0.063815,0.257066,0.025856,0.099193,0.013125,0.049619,0.171246,0.063158,0.252509,0.024852,0.097919,0.011428,0.044562,0.159633
qwen3-4b,"layers.4.self_attn.o_proj (2560, 4096)",-,-,heade0,mse,0.568,0.5577,0.0089,0.0006,0.9905,21.3579,0.050846,0.205474,0.024711,0.335532,0.205018,0.272119,0.348458,0.049608,0.206774,0.01567,0.06621,0.100161,0.197692,0.290241
qwen3-4b,"layers.4.mlp.gate_proj (9728, 2560)",-,-,heade0,mse,0.5624,0.5663,0.0086,0.0103,0.9811,21.1075,0.068621,0.399321,0.009551,0.059166,0.036086,0.09675,0.215459,0.062936,0.262586,0.008104,0.031086,0.007463,0.029253,0.111464
qwen3-4b,"layers.4.mlp.up_proj (9728, 2560)",-,-,heade0,mse,0.5584,0.5618,0.0098,0.0043,0.9859,20.9956,0.063314,0.263783,0.010672,0.178412,0.035597,0.075606,0.173028,0.062703,0.271088,0.008027,0.035107,0.009861,0.033159,0.117074
qwen3-4b,"layers.4.mlp.down_proj (2560, 9728)",-,-,heade0,mse,0.5382,0.5731,0.0462,0.0063,0.9475,19.7084,0.033667,0.175973,0.052514,0.710451,0.199522,0.310432,0.405992,0.030714,0.212224,0.014736,0.112863,0.02724,0.066529,0.14972
qwen3-4b,"layers.5.self_attn.q_proj (4096, 2560)",-,-,heade0,mse,0.5561,0.557,0.0245,0.0061,0.9694,20.808,0.064703,0.359125,0.03504,0.205194,0.049565,0.147985,0.323446,0.061893,0.2909,0.012349,0.057788,0.019959,0.066744,0.167217
qwen3-4b,"layers.5.self_attn.k_proj (1024, 2560)",-,-,heade0,mse,0.5552,0.557,0.0099,0.0053,0.9848,20.4814,0.065761,0.341161,0.035774,0.274983,0.087318,0.205166,0.383127,0.061872,0.293658,0.024236,0.115514,0.028628,0.087892,0.229496
qwen3-4b,"layers.5.self_attn.v_proj (1024, 2560)",-,-,heade0,mse,0.5537,0.5556,0.007,0.0053,0.9877,20.7415,0.063591,0.264826,0.02697,0.104902,0.015165,0.052127,0.175957,0.063074,0.256298,0.02474,0.100058,0.011707,0.044981,0.162898
qwen3-4b,"layers.5.self_attn.o_proj (2560, 4096)",-,-,heade0,mse,0.5628,0.5533,0.0042,0.0012,0.9946,21.0491,0.05258,0.216931,0.030648,0.350813,0.057948,0.13663,0.245418,0.049324,0.214341,0.015468,0.069233,0.017463,0.049556,0.139595
qwen3-4b,"layers.5.mlp.gate_proj (9728, 2560)",-,-,heade0,mse,0.559,0.553,0.0079,0.0265,0.9656,20.7588,0.073631,0.54963,0.01103,0.088769,0.096811,0.191239,0.341086,0.062023,0.303711,0.008031,0.032728,0.008988,0.032608,0.117744
qwen3-4b,"layers.5.mlp.up_proj (9728, 2560)",-,-,heade0,mse,0.5585,0.5587,0.0097,0.0039,0.9864,21.0224,0.063365,0.260659,0.009582,0.187683,0.040197,0.088669,0.178981,0.063166,0.258642,0.008028,0.032367,0.013242,0.047472,0.136627
